id,menu/Name,ingredients,"types(veg, nonveg)",price,description,"ideal for (1, 2, 3..people)",Average calorie,preparation time,"flavour(spicy, sweet)","complementary(drinks, salad, etc)",meal type,inventory
1,Idli Sambar,"rice, urad dal, tamarind, vegetables",veg,103,Steamed rice cakes served with tangy sambar,3,228,25,spicy,coconut chutney,breakfast,3
2,Butter Naan,"wheat flour, butter, yeast, milk",veg,58,Soft Indian flatbread brushed with butter,3,130,10,plain,"paneer, dal",lunch,9
3,Dal Makhani,"urad dal, rajma, butter, cream, spices",veg,171,Creamy slow-cooked lentils with spices,2,311,40,spicy,"naan, rice",dinner,2
4,Chicken Biryani,"chicken, basmati rice, spices, yogurt, onions",nonveg,270,Fragrant rice dish cooked with spiced chicken and herbs,3,420,41,spicy,"raita, salad",dinner,3
5,Butter Naan,"wheat flour, butter, yeast, milk",veg,42,Soft Indian flatbread brushed with butter,3,133,12,plain,"paneer, dal",lunch,3
6,Chicken Biryani,"chicken, basmati rice, spices, yogurt, onions",nonveg,287,Fragrant rice dish cooked with spiced chicken and herbs,3,453,47,spicy,"raita, salad",dinner,8
7,Aloo Paratha,"wheat flour, potato, spices, ghee",veg,95,Flatbread stuffed with spiced mashed potatoes,1,325,15,spicy,"curd, pickle",breakfast,8
8,Chicken Biryani,"chicken, basmati rice, spices, yogurt, onions",nonveg,272,Fragrant rice dish cooked with spiced chicken and herbs,1,429,46,spicy,"raita, salad",dinner,2
9,Rogan Josh,"lamb, yogurt, onions, spices",nonveg,300,Slow-cooked lamb curry from Kashmir,3,508,60,spicy,"naan, salad",dinner,10
10,Butter Naan,"wheat flour, butter, yeast, milk",veg,40,Soft Indian flatbread brushed with butter,2,143,7,plain,"paneer, dal",lunch,1
11,Butter Naan,"wheat flour, butter, yeast, milk",veg,44,Soft Indian flatbread brushed with butter,2,140,15,plain,"paneer, dal",lunch,4
12,Tandoori Chicken,"chicken, yogurt, tandoori masala",nonveg,253,Roasted chicken marinated in yogurt and spices,1,374,43,spicy,"mint chutney, salad",starter,7
13,Tandoori Chicken,"chicken, yogurt, tandoori masala",nonveg,250,Roasted chicken marinated in yogurt and spices,2,363,37,spicy,"mint chutney, salad",starter,7
14,Butter Naan,"wheat flour, butter, yeast, milk",veg,55,Soft Indian flatbread brushed with butter,1,144,11,plain,"paneer, dal",lunch,1
15,Chole Bhature,"chickpeas, flour, spices, onions",veg,156,Spicy chickpeas with deep-fried bread,2,422,38,spicy,"pickle, onion",lunch,6
16,Chole Bhature,"chickpeas, flour, spices, onions",veg,140,Spicy chickpeas with deep-fried bread,2,408,35,spicy,"pickle, onion",lunch,6
17,Paneer Butter Masala,"paneer, butter, tomato, cream, spices",veg,211,Rich and creamy paneer curry in butter and tomato base,3,332,33,spicy,"naan, salad",lunch,9
18,Paneer Butter Masala,"paneer, butter, tomato, cream, spices",veg,220,Rich and creamy paneer curry in butter and tomato base,2,367,29,spicy,"naan, salad",lunch,4
19,Chicken Biryani,"chicken, basmati rice, spices, yogurt, onions",nonveg,277,Fragrant rice dish cooked with spiced chicken and herbs,1,440,46,spicy,"raita, salad",dinner,6
20,Rogan Josh,"lamb, yogurt, onions, spices",nonveg,309,Slow-cooked lamb curry from Kashmir,1,480,65,spicy,"naan, salad",dinner,7
21,Aloo Paratha,"wheat flour, potato, spices, ghee",veg,110,Flatbread stuffed with spiced mashed potatoes,1,300,22,spicy,"curd, pickle",breakfast,9
22,Rogan Josh,"lamb, yogurt, onions, spices",nonveg,297,Slow-cooked lamb curry from Kashmir,2,501,61,spicy,"naan, salad",dinner,5
24,Aloo Paratha,"wheat flour, potato, spices, ghee",veg,93,Flatbread stuffed with spiced mashed potatoes,3,323,19,spicy,"curd, pickle",breakfast,1
25,Masala Dosa,"rice, urad dal, potato, curry leaves, mustard",veg,122,Crispy dosa stuffed with spicy mashed potatoes,3,270,22,spicy,"sambar, chutney",breakfast,6
26,Butter Naan,"wheat flour, butter, yeast, milk",veg,49,Soft Indian flatbread brushed with butter,2,137,15,plain,"paneer, dal",lunch,4
28,Idli Sambar,"rice, urad dal, tamarind, vegetables",veg,102,Steamed rice cakes served with tangy sambar,2,218,16,spicy,coconut chutney,breakfast,5
29,Masala Dosa,"rice, urad dal, potato, curry leaves, mustard",veg,121,Crispy dosa stuffed with spicy mashed potatoes,2,319,21,spicy,"sambar, chutney",breakfast,8
31,Dal Makhani,"urad dal, rajma, butter, cream, spices",veg,177,Creamy slow-cooked lentils with spices,1,310,45,spicy,"naan, rice",dinner,4
